Role-Playing,7.624423337856177,7.265526675786593
Platform,7.3058962264150935,6.812448979591837
Fighting,7.295949367088617,6.915555555555555
Strategy,7.2944262295081925,7.215878378378379
Adventure,7.139597315436244,6.5268749999999995
Puzzle,7.1384,6.723181818181819
Simulation,7.132153392330384,6.860919540229885
Action,7.058129175946543,6.667693138843868
Shooter,7.053259668508293,7.026002166847237
Racing,7.0385350318471405,6.798618784530388
Sports,6.951433857539316,7.199313304721031
Misc,6.805827505827507,6.664833005893909
\N,\N,\N
